task,system,basis,control,n_hidden,network_seed,converged,accuracy,hidden_unit,best_freq,best_R,best_phase,best_freq_cos,best_R_cos,concentration,null_p,null_mean,null_p95,pitch_height_r,random_r_p95
iran_interval_separate,Iranian-17,dft,none,7,437485271,False,0.8824,0,2,0.7872,-2.4196,2,0.6066,0.437,0.02999,0.6141,0.7682,0.0889,0.4815
iran_interval_separate,Iranian-17,dft,none,7,437485271,False,0.8824,1,6,0.9636,-2.6544,6,0.9124,0.8388,0.0005,0.6145,0.7619,0.0203,0.4699
iran_interval_separate,Iranian-17,dft,none,7,437485271,False,0.8824,2,9,0.9402,-0.7254,9,0.6881,0.5938,0.0005,0.6123,0.7533,0.262,0.4445
iran_interval_separate,Iranian-17,dft,none,7,437485271,False,0.8824,3,5,0.919,0.4585,5,0.825,0.5573,0.0005,0.6079,0.75,0.1886,0.4774
iran_interval_separate,Iranian-17,dft,none,7,437485271,False,0.8824,4,1,0.9495,-1.8122,1,0.2773,0.6152,0.0005,0.6108,0.7474,0.7035,0.4465
iran_interval_separate,Iranian-17,dft,none,7,437485271,False,0.8824,5,8,0.6806,0.7608,8,0.478,0.3236,0.16192,0.6074,0.7448,0.2976,0.4493
iran_interval_separate,Iranian-17,dft,none,7,437485271,False,0.8824,6,12,0.9821,-0.0,12,0.9821,0.6014,0.001,0.6067,0.7435,0.0659,0.5046
iran_interval_separate,Iranian-17,dft,input_shuffled,7,437485271,False,0.8693,0,2,0.8144,-2.859,2,0.7857,0.4698,0.01449,0.6119,0.761,0.0567,0.4659
iran_interval_separate,Iranian-17,dft,input_shuffled,7,437485271,False,0.8693,1,1,0.9556,1.4276,8,0.2076,0.6285,0.0005,0.6158,0.7694,0.8967,0.4454
iran_interval_separate,Iranian-17,dft,input_shuffled,7,437485271,False,0.8693,2,12,0.9699,-0.0,12,0.9699,0.5885,0.001,0.6074,0.7482,0.0395,0.5014
iran_interval_separate,Iranian-17,dft,input_shuffled,7,437485271,False,0.8693,3,7,0.8826,2.3014,7,0.593,0.5175,0.001,0.6031,0.7426,0.0287,0.5346
iran_interval_separate,Iranian-17,dft,input_shuffled,7,437485271,False,0.8693,4,5,0.884,0.7371,5,0.6575,0.5179,0.0015,0.6078,0.7478,0.1949,0.4645
iran_interval_separate,Iranian-17,dft,input_shuffled,7,437485271,False,0.8693,5,6,0.6505,-0.6263,6,0.5901,0.3251,0.2099,0.5947,0.7216,0.0743,0.4567
