stimulus_id,pc_c,pc_dflat,pc_dkoron,pc_d,pc_eflat,pc_ekoron,pc_e,pc_f,pc_fsori,pc_fsharp,pc_g,pc_aflat,pc_akoron,pc_a,pc_bflat,pc_bkoron,pc_b,target_category,target_label,pitch_classes
1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,DISSONANT,c+dflat+dkoron+f
2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,100-100-300,c+dflat+d+f
3,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,100-200-200,c+dflat+eflat+f
4,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,100-250-150,c+dflat+ekoron+f
5,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,100-300-100,c+dflat+e+f
6,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,15,DISSONANT,c+dkoron+d+f
7,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6,150-150-200,c+dkoron+eflat+f
8,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7,150-200-150,c+dkoron+ekoron+f
9,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,8,150-250-100,c+dkoron+e+f
10,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,9,200-100-200,c+d+eflat+f
11,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,10,200-150-150,c+d+ekoron+f
12,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,11,200-200-100,c+d+e+f
13,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,15,DISSONANT,c+eflat+ekoron+f
14,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,14,300-100-100,c+eflat+e+f
15,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,15,DISSONANT,c+ekoron+e+f
16,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,15,DISSONANT,dflat+dkoron+d+fsori
17,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,15,DISSONANT,dflat+dkoron+eflat+fsori
18,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,15,DISSONANT,dflat+dkoron+ekoron+fsori
19,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,15,DISSONANT,dflat+dkoron+e+fsori
20,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,15,DISSONANT,dflat+dkoron+f+fsori
21,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,100-100-300,dflat+d+eflat+fsori
22,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,100-150-250,dflat+d+ekoron+fsori
23,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,100-200-200,dflat+d+e+fsori
24,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,4,100-300-100,dflat+d+f+fsori
25,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,15,DISSONANT,dflat+eflat+ekoron+fsori
26,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,9,200-100-200,dflat+eflat+e+fsori
27,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,11,200-200-100,dflat+eflat+f+fsori
28,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,15,DISSONANT,dflat+ekoron+e+fsori
29,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,13,250-150-100,dflat+ekoron+f+fsori
30,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,14,300-100-100,dflat+e+f+fsori
31,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,15,DISSONANT,dkoron+d+eflat+fsharp
32,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,15,DISSONANT,dkoron+d+ekoron+fsharp
33,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,15,DISSONANT,dkoron+d+e+fsharp
34,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,15,DISSONANT,dkoron+d+f+fsharp
35,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,15,DISSONANT,dkoron+d+fsori+fsharp
36,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,15,DISSONANT,dkoron+eflat+ekoron+fsharp
37,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,5,150-100-250,dkoron+eflat+e+fsharp
38,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,7,150-200-150,dkoron+eflat+f+fsharp
39,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,15,DISSONANT,dkoron+eflat+fsori+fsharp
40,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,15,DISSONANT,dkoron+ekoron+e+fsharp
41,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,10,200-150-150,dkoron+ekoron+f+fsharp
42,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,15,DISSONANT,dkoron+ekoron+fsori+fsharp
43,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,12,250-100-150,dkoron+e+f+fsharp
44,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,15,DISSONANT,dkoron+e+fsori+fsharp
45,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,15,DISSONANT,dkoron+f+fsori+fsharp
46,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,15,DISSONANT,d+eflat+ekoron+g
47,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,100-100-300,d+eflat+e+g
48,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,2,100-200-200,d+eflat+f+g
49,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,4,100-300-100,d+eflat+fsori+g
50,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,15,DISSONANT,d+eflat+fsharp+g
51,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,15,DISSONANT,d+ekoron+e+g
52,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,6,150-150-200,d+ekoron+f+g
53,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,8,150-250-100,d+ekoron+fsori+g
54,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,15,DISSONANT,d+ekoron+fsharp+g
55,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,9,200-100-200,d+e+f+g
