stimulus_id,pc_c,pc_dflat,pc_dkoron,pc_d,pc_eflat,pc_ekoron,pc_e,pc_f,pc_fsori,pc_fsharp,pc_g,pc_aflat,pc_akoron,pc_a,pc_bflat,pc_bkoron,pc_b,target_category,target_label,pitch_classes
1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,100-100-300,c+dflat+d+f
2,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,100-200-200,c+dflat+eflat+f
3,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,100-250-150,c+dflat+ekoron+f
4,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,100-300-100,c+dflat+e+f
5,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6,150-150-200,c+dkoron+eflat+f
6,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7,150-200-150,c+dkoron+ekoron+f
7,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,8,150-250-100,c+dkoron+e+f
8,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,9,200-100-200,c+d+eflat+f
9,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,10,200-150-150,c+d+ekoron+f
10,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,11,200-200-100,c+d+e+f
11,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,14,300-100-100,c+eflat+e+f
12,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,100-100-300,dflat+d+eflat+fsori
13,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,100-150-250,dflat+d+ekoron+fsori
14,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,100-200-200,dflat+d+e+fsori
15,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,4,100-300-100,dflat+d+f+fsori
16,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,9,200-100-200,dflat+eflat+e+fsori
17,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,11,200-200-100,dflat+eflat+f+fsori
18,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,13,250-150-100,dflat+ekoron+f+fsori
19,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,14,300-100-100,dflat+e+f+fsori
20,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,5,150-100-250,dkoron+eflat+e+fsharp
21,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,7,150-200-150,dkoron+eflat+f+fsharp
22,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,10,200-150-150,dkoron+ekoron+f+fsharp
23,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,12,250-100-150,dkoron+e+f+fsharp
24,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,100-100-300,d+eflat+e+g
25,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,2,100-200-200,d+eflat+f+g
26,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,4,100-300-100,d+eflat+fsori+g
27,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,6,150-150-200,d+ekoron+f+g
28,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,8,150-250-100,d+ekoron+fsori+g
29,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,9,200-100-200,d+e+f+g
30,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,11,200-200-100,d+e+fsori+g
31,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,14,300-100-100,d+f+fsori+g
32,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,100-100-300,eflat+e+f+aflat
33,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,2,100-200-200,eflat+e+fsori+aflat
34,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,3,100-250-150,eflat+e+fsharp+aflat
35,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,4,100-300-100,eflat+e+g+aflat
36,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,9,200-100-200,eflat+f+fsori+aflat
37,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,10,200-150-150,eflat+f+fsharp+aflat
38,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,11,200-200-100,eflat+f+g+aflat
39,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,14,300-100-100,eflat+fsori+g+aflat
40,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,5,150-100-250,ekoron+f+fsori+akoron
41,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,6,150-150-200,ekoron+f+fsharp+akoron
42,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,7,150-200-150,ekoron+f+g+akoron
43,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,12,250-100-150,ekoron+fsori+g+akoron
44,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,100-100-300,e+f+fsori+a
45,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,100-150-250,e+f+fsharp+a
46,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,2,100-200-200,e+f+g+a
47,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,4,100-300-100,e+f+aflat+a
48,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,9,200-100-200,e+fsori+g+a
49,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,11,200-200-100,e+fsori+aflat+a
50,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,13,250-150-100,e+fsharp+aflat+a
51,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,14,300-100-100,e+g+aflat+a
52,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,100-100-300,f+fsori+g+bflat
53,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,2,100-200-200,f+fsori+aflat+bflat
54,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,3,100-250-150,f+fsori+akoron+bflat
55,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,4,100-300-100,f+fsori+a+bflat
56,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,6,150-150-200,f+fsharp+aflat+bflat
57,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,7,150-200-150,f+fsharp+akoron+bflat
58,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,8,150-250-100,f+fsharp+a+bflat
59,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,9,200-100-200,f+g+aflat+bflat
60,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,10,200-150-150,f+g+akoron+bflat
61,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,11,200-200-100,f+g+a+bflat
62,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,14,300-100-100,f+aflat+a+bflat
63,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,100-100-300,fsori+g+aflat+bkoron
64,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,100-150-250,fsori+g+akoron+bkoron
65,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,2,100-200-200,fsori+g+a+bkoron
66,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,4,100-300-100,fsori+g+bflat+bkoron
67,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,9,200-100-200,fsori+aflat+a+bkoron
68,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,11,200-200-100,fsori+aflat+bflat+bkoron
69,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,13,250-150-100,fsori+akoron+bflat+bkoron
70,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,14,300-100-100,fsori+a+bflat+bkoron
71,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,5,150-100-250,fsharp+aflat+a+b
72,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,7,150-200-150,fsharp+aflat+bflat+b
73,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,10,200-150-150,fsharp+akoron+bflat+b
74,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,12,250-100-150,fsharp+a+bflat+b
75,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,100-100-300,g+aflat+a+c
76,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,2,100-200-200,g+aflat+bflat+c
77,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,4,100-300-100,g+aflat+bkoron+c
78,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,6,150-150-200,g+akoron+bflat+c
79,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,8,150-250-100,g+akoron+bkoron+c
80,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,9,200-100-200,g+a+bflat+c
81,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,11,200-200-100,g+a+bkoron+c
82,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,14,300-100-100,g+bflat+bkoron+c
83,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,100-100-300,aflat+a+bflat+dflat
84,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,100-200-200,aflat+a+bkoron+dflat
85,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,3,100-250-150,aflat+a+b+dflat
86,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,100-300-100,aflat+a+c+dflat
87,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,9,200-100-200,aflat+bflat+bkoron+dflat
88,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,10,200-150-150,aflat+bflat+b+dflat
89,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,11,200-200-100,aflat+bflat+c+dflat
90,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,14,300-100-100,aflat+bkoron+c+dflat
91,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,5,150-100-250,akoron+bflat+bkoron+dkoron
92,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,6,150-150-200,akoron+bflat+b+dkoron
93,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7,150-200-150,akoron+bflat+c+dkoron
94,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,12,250-100-150,akoron+bkoron+c+dkoron
95,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,100-100-300,a+bflat+bkoron+d
96,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,100-150-250,a+bflat+b+d
97,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,100-200-200,a+bflat+c+d
98,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,4,100-300-100,a+bflat+dflat+d
99,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,9,200-100-200,a+bkoron+c+d
100,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,11,200-200-100,a+bkoron+dflat+d
101,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,13,250-150-100,a+b+dflat+d
102,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,14,300-100-100,a+c+dflat+d
103,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,100-100-300,bflat+bkoron+c+eflat
104,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,2,100-200-200,bflat+bkoron+dflat+eflat
105,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,100-250-150,bflat+bkoron+dkoron+eflat
106,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,4,100-300-100,bflat+bkoron+d+eflat
107,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,6,150-150-200,bflat+b+dflat+eflat
108,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,7,150-200-150,bflat+b+dkoron+eflat
109,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,8,150-250-100,bflat+b+d+eflat
110,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,9,200-100-200,bflat+c+dflat+eflat
111,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,10,200-150-150,bflat+c+dkoron+eflat
112,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,11,200-200-100,bflat+c+d+eflat
113,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,14,300-100-100,bflat+dflat+d+eflat
114,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,100-100-300,bkoron+c+dflat+e
115,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,100-150-250,bkoron+c+dkoron+e
116,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2,100-200-200,bkoron+c+d+e
117,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,4,100-300-100,bkoron+c+eflat+e
118,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,9,200-100-200,bkoron+dflat+d+e
119,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,11,200-200-100,bkoron+dflat+eflat+e
120,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,13,250-150-100,bkoron+dkoron+eflat+e
121,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,14,300-100-100,bkoron+d+eflat+e
