stimulus_id,pc_c,pc_dflat,pc_dkoron,pc_d,pc_eflat,pc_ekoron,pc_e,pc_f,pc_fsori,pc_fsharp,pc_g,pc_aflat,pc_akoron,pc_a,pc_bflat,pc_bkoron,pc_b,target_category,target_label,pitch_classes
1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,100-200-200,c+dflat+eflat+f
2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,100-250-150,c+dflat+ekoron+f
3,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,100-300-100,c+dflat+e+f
4,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,150-150-200,c+dkoron+eflat+f
5,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5,150-200-150,c+dkoron+ekoron+f
6,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6,150-250-100,c+dkoron+e+f
7,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,7,200-100-200,c+d+eflat+f
8,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,8,200-150-150,c+d+ekoron+f
9,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,9,200-200-100,c+d+e+f
10,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,100-200-200,dflat+d+e+fsori
11,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2,100-300-100,dflat+d+f+fsori
12,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,7,200-100-200,dflat+eflat+e+fsori
13,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,9,200-200-100,dflat+eflat+f+fsori
14,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,10,250-150-100,dflat+ekoron+f+fsori
15,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,3,150-100-250,dkoron+eflat+e+fsharp
16,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,5,150-200-150,dkoron+eflat+f+fsharp
17,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,8,200-150-150,dkoron+ekoron+f+fsharp
18,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,100-200-200,d+eflat+f+g
19,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,2,100-300-100,d+eflat+fsori+g
20,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,4,150-150-200,d+ekoron+f+g
21,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,6,150-250-100,d+ekoron+fsori+g
22,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,7,200-100-200,d+e+f+g
23,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,9,200-200-100,d+e+fsori+g
24,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,100-200-200,eflat+e+fsori+aflat
25,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,100-250-150,eflat+e+fsharp+aflat
26,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,2,100-300-100,eflat+e+g+aflat
27,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,7,200-100-200,eflat+f+fsori+aflat
28,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,8,200-150-150,eflat+f+fsharp+aflat
29,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,9,200-200-100,eflat+f+g+aflat
30,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,3,150-100-250,ekoron+f+fsori+akoron
