stimulus_id,pc_c,pc_dflat,pc_dkoron,pc_d,pc_eflat,pc_ekoron,pc_e,pc_f,pc_fsori,pc_fsharp,pc_g,pc_aflat,pc_akoron,pc_a,pc_bflat,pc_bkoron,pc_b,target_category,target_label,pitch_classes
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,hengam,c
2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,baqieh,c+dflat
3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,mojanab,c+dkoron
4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,tanini,c+d
5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,tanini+baqieh,c+eflat
6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,tanini+mojanab,c+ekoron
7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,tanini+tanini,c+e
8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,dang,c+f
9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,dang+baqieh,c+fsori
10,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,tanini+tanini+mojanab,c+fsharp
11,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,dang,c+g
12,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,tanini+tanini,c+aflat
13,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,tanini+mojanab,c+akoron
14,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,tanini+baqieh,c+a
15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,tanini,c+bflat
16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,baqieh,c+bkoron
17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,zaed,c+b
18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,hengam,dflat
19,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,zaed,dflat+dkoron
20,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,baqieh,dflat+d
