stimulus_id,pc_c,pc_dflat,pc_dkoron,pc_d,pc_eflat,pc_ekoron,pc_e,pc_f,pc_fsori,pc_fsharp,pc_g,pc_aflat,pc_akoron,pc_a,pc_bflat,pc_bkoron,pc_b,target_category,target_label,pitch_classes
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,hengam,c
2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,baqieh,c+dflat
3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,mojanab,c+dkoron
4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,tanini,c+d
5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,tanini+baqieh,c+eflat
6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,tanini+mojanab,c+ekoron
7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21,tanini+tanini,c+e
8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,dang,c+f
9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,dang+baqieh,c+fsori
10,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,dang+mojanab,c+fsharp
11,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,chireh,c+g
12,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,chireh+baqieh,c+aflat
13,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,chireh+mojanab,c+akoron
14,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,chireh+tanini,c+a
15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,chireh+tanini+baqieh,c+bflat
16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,chireh+tanini+tanini,c+bkoron
17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,chireh+tanini+baqieh+mojanab,c+b
18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,hengam,dflat
19,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,zaed,dflat+dkoron
20,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,baqieh,dflat+d
21,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,tanini,dflat+eflat
22,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,bishtanini,dflat+ekoron
23,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18,tanini+baqieh,dflat+e
24,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21,tanini+tanini,dflat+f
25,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,dang,dflat+fsori
26,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22,tanini+tanini+mojanab,dflat+fsharp
27,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,dang+baqieh,dflat+g
28,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,chireh,dflat+aflat
29,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14,dang+mojanab+baqieh,dflat+akoron
30,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,chireh+baqieh,dflat+a
31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,chireh+tanini,dflat+bflat
32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,chireh+tanini+baqieh,dflat+bkoron
33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,chireh+tanini+mojanab,dflat+b
34,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,hengam,dkoron
35,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,zaed,dkoron+d
36,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,mojanab,dkoron+eflat
37,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17,tanini,dkoron+ekoron
38,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,bishtanini,dkoron+e
39,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20,tanini+mojanab,dkoron+f
40,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19,tanini+bishtanini,dkoron+fsori
41,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,dang,dkoron+fsharp
42,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,22,tanini+tanini+mojanab,dkoron+g
43,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,dang+mojanab,dkoron+aflat
44,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,chireh,dkoron+akoron
