file,system,task,stimuli,categories
iranian_interval_separate.csv,Iranian-17,interval_separate,153,24
iranian_interval_collapsed.csv,Iranian-17,interval_collapsed,153,13
iranian_dang1_all36.csv,Iranian-17,dang1_all36,246,36
iranian_dang2_zaed16.csv,Iranian-17,dang2_zaed16,246,16
iranian_dang3_nozaed15.csv,Iranian-17,dang3_nozaed15,121,15
iranian_dang4_diss12.csv,Iranian-17,dang4_diss12,246,12
iranian_dang5_nodiss11.csv,Iranian-17,dang5_nodiss11,88,11
iranian_dang6_diss8.csv,Iranian-17,dang6_diss8,246,8
iranian_dang7_nodiss7.csv,Iranian-17,dang7_nodiss7,62,7
western_interval_separate.csv,Western-12,interval_separate,78,12
western_interval_collapsed.csv,Western-12,interval_collapsed,78,7
