stimulus_id,pc_C,pc_C#,pc_D,pc_D#,pc_E,pc_F,pc_F#,pc_G,pc_G#,pc_A,pc_A#,pc_B,target_category,target_label,pitch_classes
1,1,0,0,0,0,0,0,0,0,0,0,0,6,unison,C
2,1,1,0,0,0,0,0,0,0,0,0,0,0,ic1,C+C#
3,1,0,1,0,0,0,0,0,0,0,0,0,1,ic2,C+D
4,1,0,0,1,0,0,0,0,0,0,0,0,2,ic3,C+D#
5,1,0,0,0,1,0,0,0,0,0,0,0,3,ic4,C+E
6,1,0,0,0,0,1,0,0,0,0,0,0,4,ic5,C+F
7,1,0,0,0,0,0,1,0,0,0,0,0,5,ic6,C+F#
8,1,0,0,0,0,0,0,1,0,0,0,0,4,ic5,C+G
9,1,0,0,0,0,0,0,0,1,0,0,0,3,ic4,C+G#
10,1,0,0,0,0,0,0,0,0,1,0,0,2,ic3,C+A
11,1,0,0,0,0,0,0,0,0,0,1,0,1,ic2,C+A#
12,1,0,0,0,0,0,0,0,0,0,0,1,0,ic1,C+B
13,0,1,0,0,0,0,0,0,0,0,0,0,6,unison,C#
14,0,1,1,0,0,0,0,0,0,0,0,0,0,ic1,C#+D
15,0,1,0,1,0,0,0,0,0,0,0,0,1,ic2,C#+D#
16,0,1,0,0,1,0,0,0,0,0,0,0,2,ic3,C#+E
17,0,1,0,0,0,1,0,0,0,0,0,0,3,ic4,C#+F
18,0,1,0,0,0,0,1,0,0,0,0,0,4,ic5,C#+F#
19,0,1,0,0,0,0,0,1,0,0,0,0,5,ic6,C#+G
20,0,1,0,0,0,0,0,0,1,0,0,0,4,ic5,C#+G#
21,0,1,0,0,0,0,0,0,0,1,0,0,3,ic4,C#+A
22,0,1,0,0,0,0,0,0,0,0,1,0,2,ic3,C#+A#
23,0,1,0,0,0,0,0,0,0,0,0,1,1,ic2,C#+B
24,0,0,1,0,0,0,0,0,0,0,0,0,6,unison,D
25,0,0,1,1,0,0,0,0,0,0,0,0,0,ic1,D+D#
26,0,0,1,0,1,0,0,0,0,0,0,0,1,ic2,D+E
27,0,0,1,0,0,1,0,0,0,0,0,0,2,ic3,D+F
28,0,0,1,0,0,0,1,0,0,0,0,0,3,ic4,D+F#
29,0,0,1,0,0,0,0,1,0,0,0,0,4,ic5,D+G
30,0,0,1,0,0,0,0,0,1,0,0,0,5,ic6,D+G#
31,0,0,1,0,0,0,0,0,0,1,0,0,4,ic5,D+A
32,0,0,1,0,0,0,0,0,0,0,1,0,3,ic4,D+A#
33,0,0,1,0,0,0,0,0,0,0,0,1,2,ic3,D+B
34,0,0,0,1,0,0,0,0,0,0,0,0,6,unison,D#
35,0,0,0,1,1,0,0,0,0,0,0,0,0,ic1,D#+E
36,0,0,0,1,0,1,0,0,0,0,0,0,1,ic2,D#+F
37,0,0,0,1,0,0,1,0,0,0,0,0,2,ic3,D#+F#
38,0,0,0,1,0,0,0,1,0,0,0,0,3,ic4,D#+G
