stimulus_id,pc_C,pc_C#,pc_D,pc_D#,pc_E,pc_F,pc_F#,pc_G,pc_G#,pc_A,pc_A#,pc_B,target_category,target_label,pitch_classes
1,1,0,0,0,0,0,0,0,0,0,0,0,11,unison,C
2,1,1,0,0,0,0,0,0,0,0,0,0,0,i1,C+C#
3,1,0,1,0,0,0,0,0,0,0,0,0,3,i2,C+D
4,1,0,0,1,0,0,0,0,0,0,0,0,4,i3,C+D#
5,1,0,0,0,1,0,0,0,0,0,0,0,5,i4,C+E
6,1,0,0,0,0,1,0,0,0,0,0,0,6,i5,C+F
7,1,0,0,0,0,0,1,0,0,0,0,0,7,i6,C+F#
8,1,0,0,0,0,0,0,1,0,0,0,0,8,i7,C+G
9,1,0,0,0,0,0,0,0,1,0,0,0,9,i8,C+G#
10,1,0,0,0,0,0,0,0,0,1,0,0,10,i9,C+A
11,1,0,0,0,0,0,0,0,0,0,1,0,1,i10,C+A#
12,1,0,0,0,0,0,0,0,0,0,0,1,2,i11,C+B
13,0,1,0,0,0,0,0,0,0,0,0,0,11,unison,C#
14,0,1,1,0,0,0,0,0,0,0,0,0,0,i1,C#+D
15,0,1,0,1,0,0,0,0,0,0,0,0,3,i2,C#+D#
16,0,1,0,0,1,0,0,0,0,0,0,0,4,i3,C#+E
17,0,1,0,0,0,1,0,0,0,0,0,0,5,i4,C#+F
18,0,1,0,0,0,0,1,0,0,0,0,0,6,i5,C#+F#
19,0,1,0,0,0,0,0,1,0,0,0,0,7,i6,C#+G
20,0,1,0,0,0,0,0,0,1,0,0,0,8,i7,C#+G#
21,0,1,0,0,0,0,0,0,0,1,0,0,9,i8,C#+A
22,0,1,0,0,0,0,0,0,0,0,1,0,10,i9,C#+A#
23,0,1,0,0,0,0,0,0,0,0,0,1,1,i10,C#+B
24,0,0,1,0,0,0,0,0,0,0,0,0,11,unison,D
25,0,0,1,1,0,0,0,0,0,0,0,0,0,i1,D+D#
26,0,0,1,0,1,0,0,0,0,0,0,0,3,i2,D+E
27,0,0,1,0,0,1,0,0,0,0,0,0,4,i3,D+F
28,0,0,1,0,0,0,1,0,0,0,0,0,5,i4,D+F#
29,0,0,1,0,0,0,0,1,0,0,0,0,6,i5,D+G
30,0,0,1,0,0,0,0,0,1,0,0,0,7,i6,D+G#
31,0,0,1,0,0,0,0,0,0,1,0,0,8,i7,D+A
32,0,0,1,0,0,0,0,0,0,0,1,0,9,i8,D+A#
33,0,0,1,0,0,0,0,0,0,0,0,1,10,i9,D+B
34,0,0,0,1,0,0,0,0,0,0,0,0,11,unison,D#
35,0,0,0,1,1,0,0,0,0,0,0,0,0,i1,D#+E
36,0,0,0,1,0,1,0,0,0,0,0,0,3,i2,D#+F
37,0,0,0,1,0,0,1,0,0,0,0,0,4,i3,D#+F#
38,0,0,0,1,0,0,0,1,0,0,0,0,5,i4,D#+G
39,0,0,0,1,0,0,0,0,1,0,0,0,6,i5,D#+G#
40,0,0,0,1,0,0,0,0,0,1,0,0,7,i6,D#+A
41,0,0,0,1,0,0,0,0,0,0,1,0,8,i7,D#+A#
42,0,0,0,1,0,0,0,0,0,0,0,1,9,i8,D#+B
43,0,0,0,0,1,0,0,0,0,0,0,0,11,unison,E
44,0,0,0,0,1,1,0,0,0,0,0,0,0,i1,E+F
45,0,0,0,0,1,0,1,0,0,0,0,0,3,i2,E+F#
46,0,0,0,0,1,0,0,1,0,0,0,0,4,i3,E+G
47,0,0,0,0,1,0,0,0,1,0,0,0,5,i4,E+G#
48,0,0,0,0,1,0,0,0,0,1,0,0,6,i5,E+A
49,0,0,0,0,1,0,0,0,0,0,1,0,7,i6,E+A#
50,0,0,0,0,1,0,0,0,0,0,0,1,8,i7,E+B
51,0,0,0,0,0,1,0,0,0,0,0,0,11,unison,F
52,0,0,0,0,0,1,1,0,0,0,0,0,0,i1,F+F#
53,0,0,0,0,0,1,0,1,0,0,0,0,3,i2,F+G
54,0,0,0,0,0,1,0,0,1,0,0,0,4,i3,F+G#
55,0,0,0,0,0,1,0,0,0,1,0,0,5,i4,F+A
56,0,0,0,0,0,1,0,0,0,0,1,0,6,i5,F+A#
57,0,0,0,0,0,1,0,0,0,0,0,1,7,i6,F+B
58,0,0,0,0,0,0,1,0,0,0,0,0,11,unison,F#
59,0,0,0,0,0,0,1,1,0,0,0,0,0,i1,F#+G
60,0,0,0,0,0,0,1,0,1,0,0,0,3,i2,F#+G#
61,0,0,0,0,0,0,1,0,0,1,0,0,4,i3,F#+A
62,0,0,0,0,0,0,1,0,0,0,1,0,5,i4,F#+A#
63,0,0,0,0,0,0,1,0,0,0,0,1,6,i5,F#+B
64,0,0,0,0,0,0,0,1,0,0,0,0,11,unison,G
65,0,0,0,0,0,0,0,1,1,0,0,0,0,i1,G+G#
66,0,0,0,0,0,0,0,1,0,1,0,0,3,i2,G+A
67,0,0,0,0,0,0,0,1,0,0,1,0,4,i3,G+A#
68,0,0,0,0,0,0,0,1,0,0,0,1,5,i4,G+B
69,0,0,0,0,0,0,0,0,1,0,0,0,11,unison,G#
70,0,0,0,0,0,0,0,0,1,1,0,0,0,i1,G#+A
71,0,0,0,0,0,0,0,0,1,0,1,0,3,i2,G#+A#
72,0,0,0,0,0,0,0,0,1,0,0,1,4,i3,G#+B
73,0,0,0,0,0,0,0,0,0,1,0,0,11,unison,A
74,0,0,0,0,0,0,0,0,0,1,1,0,0,i1,A+A#
75,0,0,0,0,0,0,0,0,0,1,0,1,3,i2,A+B
76,0,0,0,0,0,0,0,0,0,0,1,0,11,unison,A#
77,0,0,0,0,0,0,0,0,0,0,1,1,0,i1,A#+B
78,0,0,0,0,0,0,0,0,0,0,0,1,11,unison,B
