system,freq,count,n_sig
Iranian-17,1,37,1056
Iranian-17,2,67,1056
Iranian-17,3,154,1056
Iranian-17,4,15,1056
Iranian-17,5,113,1056
Iranian-17,6,75,1056
Iranian-17,7,123,1056
Iranian-17,8,12,1056
Iranian-17,9,74,1056
Iranian-17,10,32,1056
Iranian-17,11,15,1056
Iranian-17,12,339,1056
Western-12,1,74,260
Western-12,2,51,260
Western-12,3,34,260
Western-12,4,25,260
Western-12,5,39,260
Western-12,6,37,260
Western-12,7,0,260
Western-12,8,0,260
Western-12,9,0,260
Western-12,10,0,260
Western-12,11,0,260
Western-12,12,0,260
