system,freq,count,n_sig
Iranian-17,1,37,279
Iranian-17,2,10,279
Iranian-17,3,19,279
Iranian-17,4,8,279
Iranian-17,5,38,279
Iranian-17,6,24,279
Iranian-17,7,30,279
Iranian-17,8,7,279
Iranian-17,9,18,279
Iranian-17,10,17,279
Iranian-17,11,14,279
Iranian-17,12,57,279
Western-12,1,74,260
Western-12,2,51,260
Western-12,3,34,260
Western-12,4,25,260
Western-12,5,39,260
Western-12,6,37,260
Western-12,7,0,260
Western-12,8,0,260
Western-12,9,0,260
Western-12,10,0,260
Western-12,11,0,260
Western-12,12,0,260
